Date Played,Time Played,Thieving XP,GP,House Keys,Blessed Bone Shards,Valuables,Notes
2025-07-29,"51 days, 13 hours",1422429,361509,262,0,0,
2025-07-30,"51 days, 14 hours",1453100,412069,294,0,0,
2025-07-31,"51 days, 18 hours",1613612,678444,456,0,0,
2025-08-01,51 days 23 hours,1829665,1031494,730,0,0,
2025-08-02,"52 days, 6 hours",2035924,1522419,1000,0,0,
2025-08-03,"52 days, 6 hours",2080754,1527096,990,125,905,First day using house keys.
2025-08-04,"52 days, 8 hours",2224925,1536202,962,1500,4108,
2025-08-05,"52 days, 9 hours",2332948,1547952,939,2750,6508,
2025-08-06,"52 days, 10 hours",2390155,1552802,927,3250,7779,
2025-08-07,"52 days, 11 hours",2425848,1555672,919,3750,8572,
2025-08-11,"52 days, 11 hours",2447678,1556752,914,4125,9057,
2025-08-18,"52 days, 16 hours",2852445,1588158,832,7500,17656,I got Rocky today! Talked to a maxed guy earlier who was still hunting for the pet and had not gotten it at like 2500 keys!
2025-08-19,"52 days, 17 hours",2979235,1600838,807,8375,20473,
2025-08-20,"52 days, 18 hours",3104719,1609638,783,10000,22943,
2025-08-24,"52 days, 20 hours",3272467,1624458,750,11500,26460,
2025-08-25,"52 days, 21 hours",3310185,1628118,742,11875,27298,
2025-09-02,52 days 22 hours,3400067,1634808,725,12375,29295,
2025-09-04,"52 days, 23 hours",3463304,1638718,713,13000,30700,
2025-09-05,"53 days, 25 minutes",3560477,1645968,695,13750,32859,
2025-09-06,"53 days, 48 minutes",3590768,1649318,689,14000,33532,
2025-09-07,"53 days, 53 minutes",3595899,1649498,688,14250,33646,
2025-09-08,"53 days, 1 hour",3660172,1653748,675,14500,35074,
2025-09-13,"53 days, 1 hour",3684882,1654978,670,14750,35532,
2025-09-21,"53 days, 3 hours",3846822,1668858,670,15750,39130,
2025-09-23,"53 days, 4 hours",3914650,1677968,627,16500,40637,
2025-10-03,"53 days, 7 hours",4192139,1700218,575,17875,46564,
2025-10-04,"53 days, 8 hours",4318389,1709158,550,18500,49308,
2025-10-10,"53 days, 9 hours",4369654,1713608,540,18625,50447,
2025-10-11,"53 days, 10 hours",4449724,1718618,525,19625,52116,
2025-11-06,"53 days, 12 hours",4652039,1735238,485,20500,56287,
2025-11-13,"53 days, 14 hours",4652039,1735238,485,20500,56287,"Not actually doing thieving today, this was the evening I worked on https://ashn.dev/blog/2025-11-12-how-to-export-and-rig-an-osrs-character-model.html"
2025-11-14,"53 days, 15 hours",4812315,1750528,454,22125,59809,
2025-11-15,"53 days, 17 hours",4996534,1768110,420,24375,63902,
2025-11-16,"53 days, 18 hours",5240209,1789770,375,27250,69086,
2025-11-20,"53 days, 21 hours",5349579,1799450,355,28125,71516,
2025-11-22,"53 days, 22 hours",5419882,1801050,342,28500,73078,
2025-11-23,"53 days, 22 hours",5651314,1823290,300,30625,78220,
2025-11-24,"54 days, 1 hour",5731519,1826370,285,31375,80002,
2025-11-27,"54 days, 2 hours",6012684,1844900,235,34375,86127,
2025-11-28,"54 days, 4 hours",6062869,1848260,225,34625,87242,
2025-11-29,"54 days, 6 hours",6269366,1864320,188,37000,91568,
2025-11-30,"54 days, 10 hours",6627449,1888987,125,39375,99402,"Today I found out that the ""Time Played"" section of the Character Summary screen does not update unless you relog or click to hide and reveal it again, so there is a non-trivial chance that some time estimates are inaccurate if the time played for that day was on the same login as when I started (e.g. on 2025-11-22 and 2022-11-23 where both days had ""53 days, 22 hours"" of playtime even though there was >100k xp gap between them."
2025-12-01,"54 days, 12 hours",6836018,1905407,86,41125,103914,
2025-12-02,"54 days, 17 hours",7326693,8231135,0,45375,0,Last of 1000 keys was spent today.